nse,bse,isin
HCL-INSYS,500179,INE236A01020
HCLTECH,532281,INE860A01027
HDFC,500010,INE001A01036
HDFCBANK,500180,INE040A01026
HDFCBANK,500180,INE040A01026
HDIL,532873,INE191I01012
HEG,509631,INE545A01016
HEIDELBERG,500292,INE578A01017
HERCULES,505720,INE688E01024
HERITGFOOD,519552,INE978A01019
HEROMOTOCO,500182,INE158A01026
HESTERBIO,524669,INE782E01017
HEXATRADEX,534328,INE750M01017
HEXAWARE,532129,INE093A01033
HFCL,500183,INE548A01028
HGS,532859,INE170I01016
HIGHGROUND,517080,INE361M01021
HIKAL,524735,INE475B01022
HIL,509675,INE557A01011
HILTON,532847,INE788H01017
HIMATSEIDE,514043,INE049A01027
HINDALCO,500440,INE038A01020
HINDCOMPOS,509635,INE310C01029
HINDCOPPER,513599,INE531E01026
HINDDORROL,509627,INE551A01022
HINDMOTORS,500500,INE253A01025
HINDNATGLS,515145,INE952A01022
HINDOILEXP,500186,INE345A01011
HINDPETRO,500104,INE094A01015
HINDSYNTEX,503881,INE155B01012
HINDUJAVEN,500189,INE353A01023
HINDUNILVR,500696,INE030A01027
HINDZINC,500188,INE267A01025
HIRECT,504036,INE835D01023
HISARMETAL,590018,INE598C01011
HITECHCORP,526217,INE120D01012
HITECHGEAR,522073,INE127B01011
HMT,500191,INE262A01018
HMVL,533217,INE871K01015
HOCL,500449,INE048A01011
HONAUT,517174,INE671A01010
HONDAPOWER,522064,INE634A01018
HOTELEELA,500193,INE102A01024
HOTELRUGBY,526683,INE275F01019
HOVS,532761,INE596H01014
HPL,540136,INE495S01016
HSCL,500184,INE019C01026
HSIL,500187,INE415A01038
HTMEDIA,532662,INE501G01024
HUBTOWN,532799,INE703H01016
HUDCO,540530,INE031A01017
IBREALEST,532832,INE069I01010
IBULHSGFIN,535789,INE148I01020
IBVENTURES,532960,INE274G01010
ICICIBANK,532174,INE090A01021
ICICIPRULI,540133,INE726G01019
ICIL,521016,INE483B01026
ICRA,532835,INE725G01011
ICSA,531524,INE306B01029
IDBI,500116,INE008A01015
IDEA,532822,INE669E01016
IDFC,532659,INE043D01016
IDFC,532659,INE043D01016
IDFCBANK,539437,INE092T01019
IFBAGRO,507438,INE076C01018
IFBIND,505726,INE559A01017
IFCI,500106,INE039A01010
IFGLREFRAC,532133,INE023B01012
IGARASHI,517380,INE188B01013
IGL,532514,INE203G01019
IGL,532514,INE203G01019
IGPL,500199,INE204A01010
IIFL,532636,INE530B01024
IITL,501295,INE886A01014
IL&FSENGG,532907,INE369I01014
IL&FSTRANS,533177,INE975G01012
IMFA,533047,INE919H01018
IMPAL,590065,INE547E01014
IMPEXFERRO,532614,INE691G01015
INDBANK,511473,INE841B01017
INDHOTEL,500850,INE053A01029
INDIACEM,530005,INE383A01012
INDIAGLYCO,500201,INE560A01015
INDIANB,532814,INE562A01011
INDIANCARD,509692,INE061A01014
INDIANHUME,504741,INE323C01030
INDIGO,539448,INE646L01027
INDLMETER,517571,INE065B01013
INDNIPPON,532240,INE092B01017
INDOCO,532612,INE873D01024
INDORAMA,500207,INE156A01020
INDOSOLAR,533257,INE866K01015
INDOTECH,532717,INE332H01014
INDOTHAI,533676,INE337M01013
INDOWIND,532894,INE227G01018
INDRAMEDCO,532150,INE681B01017
INDSWFTLAB,532305,INE915B01019
INDSWFTLTD,524652,INE788B01028
INDTERRAIN,533329,INE611L01021
INDUSINDBK,532187,INE095A01012
INEOSSTYRO,506222,INE189B01011
INFIBEAM,539807,INE483S01012
INFINITE,533154,INE486J01014
INFRATEL,534816,INE121J01017
INFY,500209,INE009A01021
INGERRAND,500210,INE177A01018
INOXLEISUR,532706,INE312H01016
INOXWIND,539083,INE066P01011
INSECTICID,532851,INE070I01018
INTEGRA,535958,INE418N01027
INTELLECT,538835,INE306R01017
INTENTECH,532326,INE781A01025
INVENTURE,533506,INE878H01016
IOB,532388,INE565A01014
IOC,530965,INE242A01010
